ID,Bio_Origin,Plant_Origin,Orphan_Drug,Homeopathic,Early_Termination,Manual_URL,Shelf_Life,Shelf_Life_Value,Shelf_Life_Unit
CADCD21121456231C2258875003E70F5,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/B217274C02E610F1422589DD003C5D61/$file/UA101820101_BE8C.mht,3 роки,3.0,рік
67DCA5B3E9ACDE47C2258A0E002ADDDF,True,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/BE85994881C4ED5B42258B69004BC2E9/$file/UA201880101_7E41.mht,2 роки,2.0,рік
41139CDA3AB38C78C2258A0E002A53C9,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/A37A15DB421F0C6A42258A38004DBAFE/$file/UA39220101_20CB.mht,3 роки,3.0,рік
6166D7C9E22EFC66C2258A0E002AA0DB,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/E1F8F90ABE05875B42258A2F003DC072/$file/UA141860101_C31C.mht,2 роки,2.0,рік
D5B9E4A31A3C851DC225898D0023A000,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/6A1AAE788557BAA0422589DD003C5EF7/$file/UA142300101_3EB5.mht,2 роки,2.0,рік
98C45B3D88488122C225898D00238E40,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/1E4517B530D323CD422589B000305586/$file/UA145090101_161D.mht,2 роки,2.0,рік
6FE72B15D6BC7022C22588D80045F297,False,True,False,False,False,,18 місяців,18.0,місяць
2909E68272F424ACC22589C9002EED2E,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/0202B15FBF4BE3C642258917002FE1C2/$file/UA36810101_E134.mht,2 роки,2.0,рік
44CBDF1329C95BC3C225897C002E6AD9,False,True,False,False,False,,12 місяців,12.0,місяць
8CC06A250E6FC837C225835F00302159,False,True,False,False,False,,12 місяців,12.0,місяць
652CE490BD305108C22584100038A6C2,False,True,False,False,False,,12 місяців,12.0,місяць
46244D31BDF8B227C22586A8003E44CA,False,True,False,False,False,,12 місяців,12.0,місяць
286612138BF5B601C22587C80032BD1F,False,True,False,False,False,,12 місяців,12.0,місяць
22C7DBFDF36695F7C22588A3003993CD,False,True,False,False,False,,12 місяців,12.0,місяць
7C1389E15169112DC2258AE0004AB2D7,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/4F31BD8328A5FAC842258B26003B8408/$file/UA98800101_D87B.mht,3 роки,3.0,рік
CFE2F9865FAF0540C2258AE0004A7FC7,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/71C3AFDB1F94EFACC225863B00310E1A/$file/UA45570101_3052.mht,3 роки,3.0,рік
E4FDD06312E92288C2258AE0004A9D29,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/2884D114DD54D1EDC2258AE70058F43A/$file/UA04710101_7D28.mht,3 роки,3.0,рік
0081B0432796FC20C2258B630043AC41,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/79AB5BC607832CA342258BB80034D1AD/$file/UA36500201_E87C.mht,3 роки,3.0,рік
A0D45EC4993B8550C2258B630043CECC,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/ECF426E604E15E6B42258B26003B7236/$file/UA131180101_1656.mht,2 роки,2.0,рік
625BF1816453AAC2C225863B004B11C2,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/ED3F2832F8504FDBC2258ACF004BC1B9/$file/UA36500203_17F9.mht,3 роки,3.0,рік
735807954C966708C2258BAC0033F34E,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/3C205BEDDF739EC9422589DD003C602D/$file/UA141320101_F498.mht,2 роки,2.0,рік
C810565562522CAFC2258BAC0040B5AF,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/A5B05ED4664889DB42258ABB003F029F/$file/UA144540101_B4E0.mht,2 роки,2.0,рік
814FFE2FBF6EBD36C225860E0045F877,False,True,False,False,False,,2 роки,2.0,рік
18193E7775AE999EC2258AFA002C4A1C,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/4D3D834DCF602995C2258705002B1F3D/$file/UA75110101_FC5D.mht,2 роки,2.0,рік
DF5EE2FAFE537351C2258B9300365FE8,False,True,False,False,False,,2 роки,2.0,рік
3212F3FC31C7FB27C2258B190026D39F,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/C6B05AC3E730E61642258917002FE25E/$file/UA33730101_1AFB.mht,2 роки,2.0,рік
E9E32FF154FFDDA5C22589FE0037B21B,False,True,False,False,False,,2 роки,2.0,рік
47C6F29AD5A0AEABC22587F0003FF986,False,True,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/91E41FECB56B084A42258A38004DBB2D/$file/UA113060101_D7D5.mht,4 роки,4.0,рік
